ID,input_noise,N_visible_drift_tiles,N_visible_obstacles,eye_x,eye_y,saccade_direction_x,saccade_direction_y,saccade_amplitude,saccLandSite_dist_to_closestObstacle,saccLandSite_dist_to_spaceship
EL10RM1,N,0.0,4.0,-4078.258117675781,274.1317749023437,-19.9609375,0.08282470703125,0.4602809226968423,63.36374426364983,63.811824266456654
ZC12VE,N,0.0,2.0,891.6423034667969,309.32029724121094,465.7550659179688,-657.4288024902344,17.965841971705466,14.75568533422828,16.544377847671324
EL10RM1,N,0.0,5.0,-1337.0907592773438,403.42333984375,-8.9150390625,0.277130126953125,0.2056737003523801,39.97125766691501,42.837538755071165
OK01UE,S,1.0,6.0,1110.799560546875,489.1068115234375,120.621826171875,-248.35275268554688,6.340580108497699,2.3190356854995424,6.405790395385582
AR02AA,N,0.0,8.0,1135.5246276855469,877.2144775390625,-6.852020263671875,25.76165771484375,0.6146779221324362,8.4080483638355,14.803173323539204
EU29TT1,W,0.0,0.0,812.6967468261719,1773.9331665039062,-6.636421203613281,-5.85760498046875,0.2041152000411341,,31.20963630532695
UD06AD,S,0.0,0.0,967.0129089355468,412.0289306640625,25.863189697265625,-135.04949951171875,3.1675196754033785,,0.91071440476087
AM19EA1,N,0.0,4.0,904.4722290039062,474.6912231445313,107.98275756835938,-158.3765869140625,4.411416547860239,5.156005722136674,1.719229982354883
AM19EA1,S,1.0,2.0,1034.4557342529297,717.8416900634766,153.0730438232422,-12.529449462890582,3.537074229545046,7.840282002441248,11.244624475889315
RO25EA1,W,0.0,1.0,993.9142456054688,564.0619812011719,-6.854583740234375,28.1785888671875,0.6686989159005745,9.339415132362149,7.427778033434502
AR02AA,W,0.0,2.0,6278.38037109375,387.2424850463867,-62.54931640625,6.605224609375,1.4500586626606982,64.4238986947085,64.72882787172426
UD06AD,W,0.0,5.0,999.2647094726562,705.0474853515625,21.011840820312493,-32.33782958984375,0.8892056923987697,5.129632354952434,9.327862797355246
UD06AD,W,0.0,8.0,975.3628845214844,519.8051147460938,72.26803588867188,-135.46957397460938,3.536051820900214,0.5139449211305847,3.403739654147377
AN10HA1,W,0.0,1.0,962.2881774902344,682.3799896240234,727.3301391601562,-96.1485900878906,16.450260632974707,18.019752156394645,17.86181986246712
AR02AA,N,0.0,3.0,865.7138671875,389.2302551269531,-18.606201171875,42.743469238281264,1.0748454717632108,4.247779351716524,4.465966246811081
OK01UE,S,0.0,10.0,948.1926879882812,443.9063720703125,-12.683868408203123,-43.7811279296875,1.050961908232848,2.8437964139048377,3.027930166738362
LJ28VA1,S,0.0,0.0,1110.276824951172,219.30740356445312,56.205352783203125,-353.6805725097656,8.201515639568209,,10.4172038067226
RO25EA1,S,0.0,2.0,893.9726867675781,377.82025146484375,-2.285186767578125,-3.2615966796875,0.0918332842046424,5.224085423123582,2.804508187816721
EH08OI1,S,0.0,0.0,918.9479064941406,264.4293518066406,-4.961700439453125,6.2567138671875,0.1841353304919109,,0.9227491465906892
OC19AS1,N,0.0,0.0,1083.485107421875,747.6561889648438,-4.766662597656264,93.92138671875,2.1675218573635124,,13.249029823788025
AR02AA,N,0.0,0.0,1044.4210815429688,600.9669189453125,-29.0662841796875,165.52679443359375,3.8694526575172734,,11.383729357535618
OL01AC1,W,0.0,0.0,929.11669921875,368.8201904296875,47.28900146484375,-47.44384765625,1.5442892272729225,,1.2922471145166976
FR04AN,S,0.0,0.0,900.6906585693359,815.3436279296875,240.3146209716797,-308.0546264648437,8.936196495854038,,13.889908106353424
ON27IN1,N,0.0,6.0,969.894775390625,426.7378845214844,69.6923828125,-135.0679931640625,3.5003906805587874,3.548717214092614,2.035007196534844
EL10RM1,N,0.0,0.0,-10206.767822265623,-155.4395751953125,-0.037109375,-0.93536376953125,0.0215858765905591,,77.45350564644893
OK01UE,W,0.0,2.0,1004.034912109375,516.177978515625,16.779083251953125,-99.58709716796876,2.3275025948889376,5.330219954191748,3.7096586379182295
EL10RM1,N,0.0,5.0,-2615.5252075195312,295.84991455078125,2906.391967773437,-167.2291564941406,49.51927174725965,10.92748894608982,15.263481495585266
UD06AD,W,0.0,2.0,1004.31689453125,576.2322998046875,85.08929443359375,-106.68035888671876,3.143487706872892,1.7199736842316888,5.543525946058429
LA22KK1,W,0.0,5.0,1556.479949951172,425.3780364990234,-46.337158203125,3.565979003906307,1.0715406353551709,5.20082342491339,13.104390681314705
LL13AE1,S,0.0,7.0,960.4173126220704,688.3560791015625,0.7991790771484375,-11.760498046875,0.2718131969227614,2.3251428965698486,9.29491168939774
AN10HA1,N,0.0,2.0,992.1376037597656,468.8606414794922,217.73654174804688,-377.9893035888672,9.957416289339369,8.182979918450448,7.164872545633132
RE25EK,N,0.0,1.0,766.0541076660156,435.2859954833984,243.82986450195312,-296.1011962890625,8.7757016156926,10.392214682687095,3.2766665186144213
AR02AA,S,0.0,0.0,-347.355712890625,523.0994873046875,-292.0262451171875,7.87060546875,6.7056051398014365,,33.016621450072854
OL01AC1,S,0.0,0.0,1072.084442138672,500.55316162109375,19.068634033203125,-20.48345947265625,0.6452996625897728,,5.765573253213431
AR02AA,N,0.0,2.0,956.3156862258912,382.55706787109375,160.57778072357178,-221.0136260986328,6.274368120503044,6.773535377053334,4.50334298636857
LA22KK1,W,1.0,0.0,1147.2892456054688,563.0604248046875,-28.639190673828125,-1265.9512939453125,27.004655529684104,,21.65898948016301
AR02AA,W,0.0,1.0,678.8612289428711,726.6242065429688,10.090011596679688,5.63238525390625,0.2664632673636496,12.269250298367984,12.103922298119668
