"Trial","TaskWAV","Selected","Correct","RT","Subj_ID","list","Group","log_RT"
"54","DET_Task_ihr-0_Lieblingsknoten.wav","TARGET","1","553","Y1",1,1,6.31535800152233
"55","DET_Task_sein-e_Lieblingstreppe.wav","TARGET","1","1002","Y1",1,1,6.90975328164481
"56","DET_Task_sein-0_Lieblingsguertel.wav","TARGET","1","237","Y1",1,1,5.46806014113513
"57","DET_Task_ihr-e_Lieblingssaeule.wav","TARGET","1","1114","Y1",1,1,7.01571242048723
"58","DET_Task_sein-0_Lieblingswuerfel.wav","TARGET","1","474","Y1",1,1,6.16120732169508
"59","DET_Task_sein-0_Lieblingsspiegel.wav","TARGET","1","478","Y1",1,1,6.16961073249146
"60","DET_Task_ihr-e_Lieblingsgeige.wav","TARGET","1","1142","Y1",1,1,7.04053639021596
"61","DET_Task_sein-0_Lieblingsroboter.wav","TARGET","1","329","Y1",1,1,5.79605775076537
"62","DET_Task_sein-e_Lieblingslampe.wav","TARGET","1","971","Y1",1,1,6.87832646829133
"63","DET_Task_sein-e_Lieblingstasse.wav","Possessor_comp","0","755","Y1",1,1,6.62671774924902
"64","DET_Task_ihr-0_Lieblingsteppich.wav","TARGET","1","616","Y1",1,1,6.42324696353352
"65","DET_Task_sein-0_Lieblingsspargel.wav","TARGET","1","1531","Y1",1,1,7.33367639565768
"66","DET_Task_sein-0_Lieblingszirkel.wav","TARGET","1","784","Y1",1,1,6.66440902035041
"67","DET_Task_ihr-e_Lieblingsameise.wav","TARGET","1","1195","Y1",1,1,7.08590146436561
"68","DET_Task_ihr-e_Lieblingsraupe.wav","TARGET","1","1039","Y1",1,1,6.94601399109923
"69","DET_Task_sein-e_Lieblingsschnecke.wav","TARGET","1","1067","Y1",1,1,6.97260625130175
"70","DET_Task_sein-0_Lieblingshut.wav","TARGET","1","394","Y1",1,1,5.97635090929793
"71","DET_Task_sein-e_Lieblingspfeife.wav","TARGET","1","482","Y1",1,1,6.1779441140506
"72","DET_Task_ihr-0_Lieblingskoffer.wav","TARGET","1","430","Y1",1,1,6.06378520868761
"73","DET_Task_sein-0_Lieblingsschuh.wav","TARGET","1","795","Y1",1,1,6.67834211465433
"74","DET_Task_ihr-e_Lieblingstreppe.wav","TARGET","1","601","Y1",1,1,6.39859493453521
"75","DET_Task_ihr-e_Lieblingsmuenze.wav","TARGET","1","764","Y1",1,1,6.63856778916652
"76","DET_Task_ihr-0_Lieblingsfuchs.wav","TARGET","1","904","Y1",1,1,6.80682936039218
"77","DET_Task_sein-0_Lieblingsfaecher.wav","TARGET","1","494","Y1",1,1,6.20253551718792
"78","DET_Task_ihr-0_Lieblingsspargel.wav","TARGET","1","480","Y1",1,1,6.17378610390194
"79","DET_Task_sein-0_Lieblingskalender.wav","TARGET","1","371","Y1",1,1,5.91620206260743
"80","DET_Task_sein-e_Lieblingsdusche.wav","TARGET","1","738","Y1",1,1,6.60394382460047
"81","DET_Task_ihr-e_Lieblingsqualle.wav","TARGET","1","603","Y1",1,1,6.40191719672719
"82","DET_Task_ihr-e_Lieblingskette.wav","TARGET","1","604","Y1",1,1,6.40357419793482
"83","DET_Task_sein-0_Lieblingsdiamant.wav","TARGET","1","212","Y1",1,1,5.35658627467201
"84","DET_Task_sein-0_Lieblingsteller.wav","TARGET","1","774","Y1",1,1,6.65157187358973
"85","DET_Task_sein-e_Lieblingszeitung.wav","TARGET","1","655","Y1",1,1,6.48463523563525
"86","DET_Task_ihr-0_Lieblingsdrache.wav","TARGET","1","1072","Y1",1,1,6.97728134163075
"87","DET_Task_sein-e_Lieblingstrompete.wav","TARGET","1","1040","Y1",1,1,6.94697599213542
"88","DET_Task_ihr-0_Lieblingshammer.wav","TARGET","1","382","Y1",1,1,5.94542060860658
"89","DET_Task_ihr-0_Lieblingsmantel.wav","TARGET","1","663","Y1",1,1,6.49677499018586
"90","DET_Task_ihr-e_Lieblingskruecke.wav","TARGET","1","981","Y1",1,1,6.88857245956536
"91","DET_Task_sein-0_Lieblingssessel.wav","TARGET","1","507","Y1",1,1,6.22851100359118
"92","DET_Task_ihr-0_Lieblingskuerbis.wav","TARGET","1","800","Y1",1,1,6.68461172766793
"93","DET_Task_ihr-0_Lieblingspinsel.wav","TARGET","1","505","Y1",1,1,6.22455842927536
"94","DET_Task_ihr-e_Lieblingskirsche.wav","TARGET","1","754","Y1",1,1,6.62539236800796
"95","DET_Task_sein-e_Lieblingskatze.wav","TARGET","1","653","Y1",1,1,6.48157712927643
"96","DET_Task_sein-e_Lieblingskuh.wav","TARGET","1","772","Y1",1,1,6.64898455002478
"97","DET_Task_ihr-e_Lieblingsschaufel.wav","TARGET","1","591","Y1",1,1,6.3818160174061
"98","DET_Task_sein-e_Lieblingskerze.wav","TARGET","1","824","Y1",1,1,6.71417052990947
"99","DET_Task_ihr-0_Lieblingspinguin.wav","TARGET","1","564","Y1",1,1,6.33505425149806
"100","DET_Task_sein-e_Lieblingsantenne.wav","TARGET","1","1041","Y1",1,1,6.94793706861497
"101","DET_Task_sein-e_Lieblingsangel.wav","TARGET","1","936","Y1",1,1,6.84161547647759
"102","DET_Task_ihr-0_Lieblingsschuh.wav","TARGET","1","342","Y1",1,1,5.8348107370626
"103","DET_Task_ihr-e_Lieblingsschnecke.wav","TARGET","1","707","Y1",1,1,6.56103066589657
"104","DET_Task_sein-e_Lieblingsgabel.wav","TARGET","1","583","Y1",1,1,6.36818718635049
"1","DET_Task_ihr-0_Lieblingsfuchs.wav","TARGET","1","477","Y2",3,1,6.16751649088834
"2","DET_Task_sein-0_Lieblingsnagel.wav","TARGET","1","343","Y2",3,1,5.83773044716594
"3","DET_Task_sein-0_Lieblingskalender.wav","TARGET","1","611","Y2",3,1,6.4150969591716
"4","DET_Task_ihr-0_Lieblingskuerbis.wav","TARGET","1","387","Y2",3,1,5.95842469302978
"5","DET_Task_ihr-e_Lieblingsameise.wav","TARGET","1","572","Y2",3,1,6.3491389913798
"6","DET_Task_ihr-0_Lieblingstrichter.wav","TARGET","1","680","Y2",3,1,6.52209279817015
"7","DET_Task_sein-0_Lieblingsbesen.wav","TARGET","1","786","Y2",3,1,6.66695679242921
"8","DET_Task_ihr-e_Lieblingsraupe.wav","TARGET","1","548","Y2",3,1,6.30627528694802
"9","DET_Task_ihr-e_Lieblingszwiebel.wav","TARGET","1","511","Y2",3,1,6.2363695902037
"10","DET_Task_ihr-0_Lieblingsschuh.wav","TARGET","1","655","Y2",3,1,6.48463523563525
"11","DET_Task_sein-e_Lieblingstreppe.wav","TARGET","1","532","Y2",3,1,6.27664348934164
"12","DET_Task_ihr-e_Lieblingskuh.wav","TARGET","1","466","Y2",3,1,6.14418563412565
"13","DET_Task_ihr-e_Lieblingsavocado.wav","TARGET","1","362","Y2",3,1,5.89164421182577
"14","DET_Task_sein-e_Lieblingswurst.wav","TARGET","1","281","Y2",3,1,5.63835466933375
"15","DET_Task_ihr-0_Lieblingsroboter.wav","TARGET","1","472","Y2",3,1,6.15697898558556
"16","DET_Task_sein-0_Lieblingsspiegel.wav","TARGET","1","416","Y2",3,1,6.03068526026126
"17","DET_Task_ihr-0_Lieblingsapfel.wav","TARGET","1","511","Y2",3,1,6.2363695902037
"18","DET_Task_ihr-0_Lieblingskoffer.wav","TARGET","1","275","Y2",3,1,5.61677109766657
"19","DET_Task_sein-e_Lieblingsschuerze.wav","TARGET","1","352","Y2",3,1,5.8636311755981
"20","DET_Task_ihr-e_Lieblingsgeige.wav","TARGET","1","645","Y2",3,1,6.46925031679577
"21","DET_Task_sein-e_Lieblingstrommel.wav","TARGET","1","344","Y2",3,1,5.8406416573734
"22","DET_Task_sein-e_Lieblingsfeder.wav","TARGET","1","373","Y2",3,1,5.92157841964382
"23","DET_Task_ihr-0_Lieblingshonig.wav","TARGET","1","465","Y2",3,1,6.14203740558736
"24","DET_Task_ihr-e_Lieblingsqualle.wav","TARGET","1","556","Y2",3,1,6.32076829425058
"25","DET_Task_sein-0_Lieblingsdiamant.wav","TARGET","1","520","Y2",3,1,6.25382881157547
"26","DET_Task_sein-e_Lieblingsharfe.wav","TARGET","1","250","Y2",3,1,5.52146091786225
"27","DET_Task_sein-0_Lieblingsteller.wav","TARGET","1","375","Y2",3,1,5.92692602597041
"28","DET_Task_ihr-0_Lieblingsfaecher.wav","TARGET","1","352","Y2",3,1,5.8636311755981
"29","DET_Task_ihr-e_Lieblingskette.wav","TARGET","1","802","Y2",3,1,6.68710860786651
"30","DET_Task_ihr-e_Lieblingsschnecke.wav","TARGET","1","501","Y2",3,1,6.21660610108486
"31","DET_Task_sein-0_Lieblingsapfel.wav","TARGET","1","481","Y2",3,1,6.17586727010576
"32","DET_Task_sein-e_Lieblingspfeife.wav","TARGET","1","312","Y2",3,1,5.74300318780948
"33","DET_Task_ihr-0_Lieblingsspargel.wav","TARGET","1","281","Y2",3,1,5.63835466933375
"34","DET_Task_sein-e_Lieblingskirsche.wav","TARGET","1","460","Y2",3,1,6.13122648948314
"35","DET_Task_ihr-0_Lieblingspinsel.wav","TARGET","1","942","Y2",3,1,6.84800527457636
"36","DET_Task_sein-0_Lieblingskaese.wav","TARGET","1","452","Y2",3,1,6.11368217983223
"37","DET_Task_sein-0_Lieblingszirkel.wav","TARGET","1","447","Y2",3,1,6.10255859461357
"39","DET_Task_ihr-e_Lieblingssaege.wav","TARGET","1","493","Y2",3,1,6.20050917404269
"40","DET_Task_sein-e_Lieblingstasse.wav","TARGET","1","237","Y2",3,1,5.46806014113513
"41","DET_Task_sein-e_Lieblingsmilch.wav","TARGET","1","600","Y2",3,1,6.39692965521615
"42","DET_Task_ihr-e_Lieblingsangel.wav","Possessee_comp","0","620","Y2",3,1,6.42971947803914
"43","DET_Task_sein-e_Lieblingsdusche.wav","TARGET","1","554","Y2",3,1,6.31716468674728
"44","DET_Task_ihr-0_Lieblingsteppich.wav","TARGET","1","969","Y2",3,1,6.87626461189077
"46","DET_Task_ihr-e_Lieblingskruecke.wav","TARGET","1","558","Y2",3,1,6.32435896238131
"47","DET_Task_sein-e_Lieblingsgabel.wav","TARGET","1","580","Y2",3,1,6.36302810354046
"48","DET_Task_sein-0_Lieblingshut.wav","TARGET","1","452","Y2",3,1,6.11368217983223
"49","DET_Task_ihr-e_Lieblingsbrille.wav","TARGET","1","746","Y2",3,1,6.61472560020376
"50","DET_Task_ihr-e_Lieblingsmuenze.wav","TARGET","1","450","Y2",3,1,6.10924758276437
"51","DET_Task_sein-0_Lieblingssessel.wav","TARGET","1","311","Y2",3,1,5.73979291217923
"52","DET_Task_sein-0_Lieblingsfaecher.wav","TARGET","1","485","Y2",3,1,6.18414889093748
"53","DET_Task_sein-e_Lieblingskerze.wav","TARGET","1","341","Y2",3,1,5.83188247728352
"54","DET_Task_ihr-0_Lieblingsteller.wav","TARGET","1","324","Y2",3,1,5.78074351579233
"55","DET_Task_sein-0_Lieblingsdrachen.wav","TARGET","1","291","Y2",3,1,5.67332326717149
"56","DET_Task_ihr-0_Lieblingskaese.wav","TARGET","1","540","Y2",3,1,6.29156913955832
"57","DET_Task_ihr-e_Lieblingskatze.wav","TARGET","1","589","Y2",3,1,6.37842618365159
"58","DET_Task_sein-0_Lieblingswuerfel.wav","TARGET","1","403","Y2",3,1,5.99893656194668
"59","DET_Task_sein-e_Lieblingszeitung.wav","Possessee_comp","0","870","Y2",3,1,6.76849321164863
"60","DET_Task_sein-e_Lieblingsschnecke.wav","TARGET","1","398","Y2",3,1,5.98645200528444
"61","DET_Task_ihr-0_Lieblingsguertel.wav","TARGET","1","474","Y2",3,1,6.16120732169508
"62","DET_Task_sein-e_Lieblingsantenne.wav","TARGET","1","526","Y2",3,1,6.26530121273771
"63","DET_Task_ihr-0_Lieblingspinguin.wav","TARGET","1","278","Y2",3,1,5.62762111369064
"64","DET_Task_ihr-e_Lieblingskirsche.wav","TARGET","1","658","Y2",3,1,6.48920493132532
"65","DET_Task_sein-0_Lieblingstisch.wav","TARGET","1","356","Y2",3,1,5.87493073085203
"66","DET_Task_ihr-e_Lieblingsfeder.wav","TARGET","1","1066","Y2",3,1,6.97166860472579
"67","DET_Task_sein-0_Lieblingskoffer.wav","TARGET","1","469","Y2",3,1,6.15060276844628
"68","DET_Task_ihr-0_Lieblingsknoten.wav","TARGET","1","337","Y2",3,1,5.82008293035236
"69","DET_Task_ihr-e_Lieblingsmaus.wav","TARGET","1","610","Y2",3,1,6.41345895716736
"70","DET_Task_sein-e_Lieblingskuh.wav","TARGET","1","884","Y2",3,1,6.78445706263764
